track_id,instrument,predicted
track_0151154,piano,piano
track_1142627,piano,piano
track_1400502,piano,piano
track_0491052,piano,piano
track_0944140,piano,piano
track_1378002,piano,piano
track_0345904,piano,piano
track_0149489,piano,piano
track_1169725,piano,piano
track_1374307,piano,piano
track_1390998,piano,piano
track_1357131,piano,voice
track_1352257,piano,piano
track_1082410,piano,piano
track_1245136,piano,guitar
track_0478671,piano,piano
track_0752145,piano,piano
track_1195873,piano,piano
track_0080768,piano,drums
track_0426748,piano,piano
track_0924961,piano,voice
track_1169733,piano,piano
track_1374304,piano,piano
track_0816194,piano,piano
track_1115564,piano,piano
track_1232473,piano,piano
track_1029510,piano,piano
track_1095601,piano,piano
track_0347540,piano,piano
track_0257176,piano,piano
track_0275246,piano,piano
track_0025222,piano,piano
track_1274154,piano,piano
track_0272859,piano,piano
track_0078956,piano,piano
track_1275158,piano,piano
track_1205055,piano,piano
track_1241406,piano,piano
track_1387655,piano,voice
track_0136835,piano,piano
track_0149490,piano,piano
track_0460239,piano,piano
track_0275219,piano,piano
track_1287490,piano,drums
track_0786781,piano,piano
track_0355482,piano,drums
track_1339327,piano,voice
track_0537760,piano,piano
track_1420795,piano,piano
track_1155158,piano,piano
track_0151029,piano,piano
track_1043783,piano,piano
track_0014018,piano,piano
track_0259894,piano,piano
track_1420796,piano,piano
track_1254722,piano,piano
track_0349964,piano,piano
track_0091820,piano,piano
track_0991748,piano,piano
track_0079746,piano,piano
track_0799923,piano,piano
track_1292338,piano,piano
track_1349474,piano,piano
track_0324619,piano,piano
track_1345286,piano,piano
track_0033451,piano,piano
track_1349473,piano,piano
track_1359960,piano,piano
track_0352748,piano,piano
track_1154953,piano,drums
track_1172394,piano,voice
track_1126844,piano,piano
track_0326493,piano,piano
track_0150793,piano,piano
track_0014020,piano,piano
track_0460238,piano,piano
track_1348160,piano,piano
track_1270573,piano,guitar
track_0317249,piano,piano
track_0081805,piano,drums
track_1294751,piano,guitar
track_1331552,piano,drums
track_1264979,piano,piano
track_1356868,piano,voice
track_1347850,piano,piano
track_0743965,piano,piano
track_1018801,piano,piano
track_1319531,piano,piano
track_0997096,piano,piano
track_1405086,piano,drums
track_0025223,piano,piano
track_0470757,piano,piano
track_0114765,piano,piano
track_1277854,piano,piano
track_0006732,piano,piano
track_1375497,piano,voice
track_1300328,piano,piano
track_0188267,piano,piano
track_1370381,piano,piano
track_0944146,piano,piano
track_0858541,piano,piano
track_0919994,piano,piano
track_0662422,piano,piano
track_0080781,piano,drums
track_1355271,piano,drums
track_0080792,piano,drums
track_0168951,piano,voice
track_0856721,piano,voice
track_1182882,piano,piano
track_1232052,piano,piano
track_1216156,piano,piano
track_0675836,piano,piano
track_0116618,piano,piano
track_0464040,piano,piano
track_1288117,piano,piano
track_0976128,piano,drums
track_0034857,piano,piano
track_1230993,piano,voice
track_1292130,piano,piano
track_0037815,piano,guitar
track_0138323,piano,piano
track_0373203,piano,piano
track_1039836,piano,piano
track_1319787,piano,piano
track_1189954,piano,piano
track_0259936,piano,piano
track_1206732,piano,piano
track_1225156,piano,guitar
track_0259847,piano,piano
track_1103451,piano,piano
track_0324618,piano,piano
track_0080772,piano,drums
track_0398188,piano,piano
track_0326518,piano,piano
track_1394316,piano,voice
track_0398182,piano,piano
track_1103449,piano,piano
track_0089326,piano,guitar
track_0081814,piano,piano
track_0966862,piano,piano
track_0114773,piano,piano
track_0967233,piano,voice
track_1391026,piano,piano
track_1028901,piano,piano
track_0080802,piano,drums
track_0989713,piano,piano
track_0792446,piano,guitar
track_0350362,piano,piano
track_0150965,piano,piano
track_1337503,piano,piano
track_0000382,voice,voice
track_0000383,voice,voice
track_0000384,voice,voice
track_0000386,voice,voice
track_0000387,voice,voice
track_0000388,voice,voice
track_0000389,voice,voice
track_0000390,voice,voice
track_0000391,voice,voice
track_0000392,voice,voice
track_0000393,voice,voice
track_0000394,voice,voice
track_0000395,voice,voice
track_0017955,bass,drums
track_0017959,bass,drums
track_0022183,guitar,guitar
track_0040620,voice,voice
track_0072830,voice,voice
track_0072831,voice,voice
track_0072832,voice,voice
track_0072833,voice,voice
track_0072834,voice,voice
track_0072835,voice,guitar
track_0072836,voice,guitar
track_0072837,voice,guitar
track_0072838,voice,voice
track_0072839,voice,guitar
track_0072840,voice,guitar
track_0072841,voice,guitar
track_0076656,voice,guitar
track_0077441,drums,drums
track_0077442,drums,drums
track_0077443,drums,drums
track_0077444,drums,drums
track_0077445,drums,drums
track_0080975,bass,piano
track_0080978,bass,piano
track_0080979,bass,voice
track_0080980,bass,drums
track_0080981,bass,drums
track_0080982,bass,drums
track_0080983,bass,drums
track_0080985,bass,drums
track_0111584,drums,drums
track_0126985,guitar,piano
track_0155328,guitar,drums
track_0159038,bass,drums
track_0162856,guitar,piano
track_0166577,guitar,guitar
track_0166585,guitar,voice
track_0166591,guitar,guitar
track_0166604,guitar,guitar
track_0166607,guitar,guitar
track_0166613,guitar,guitar
track_0171074,guitar,guitar
track_0172326,guitar,guitar
track_0178482,bass,drums
track_0200050,voice,guitar
track_0220600,bass,voice
track_0243697,voice,piano
track_0243702,voice,piano
track_0243721,voice,piano
track_0243736,voice,voice
track_0243742,voice,voice
track_0243758,voice,piano
track_0243794,voice,voice
track_0243802,voice,voice
track_0243809,voice,voice
track_0243824,voice,piano
track_0243835,voice,voice
track_0243839,voice,piano
track_0243849,voice,piano
track_0243856,voice,voice
track_0251026,bass,drums
track_0260302,drums,drums
track_0277778,guitar,guitar
track_0277785,guitar,guitar
track_0277804,guitar,guitar
track_0277806,guitar,guitar
track_0277816,guitar,guitar
track_0277846,guitar,guitar
track_0295925,drums,drums
track_0304768,guitar,voice
track_0317134,guitar,guitar
track_0319824,guitar,guitar
track_0325365,guitar,guitar
track_0325368,guitar,guitar
track_0325369,guitar,guitar
track_0325374,guitar,guitar
track_0325391,guitar,guitar
track_0325393,guitar,guitar
track_0340016,voice,voice
track_0350988,drums,drums
track_0361979,guitar,guitar
track_0361987,guitar,guitar
track_0361988,guitar,guitar
track_0361989,guitar,guitar
track_0361990,guitar,guitar
track_0361993,guitar,guitar
