track_id,instrument,predicted
keyboard_electronic_008-067-075,synthesizer,synthesizer
keyboard_acoustic_009-073-127,synthesizer,guitar
keyboard_electronic_109-056-100,synthesizer,synthesizer
keyboard_electronic_059-094-025,synthesizer,synthesizer
keyboard_electronic_005-069-025,synthesizer,synthesizer
keyboard_electronic_022-060-025,synthesizer,synthesizer
keyboard_electronic_048-080-100,synthesizer,synthesizer
keyboard_electronic_040-028-050,synthesizer,synthesizer
keyboard_electronic_072-096-075,synthesizer,synthesizer
keyboard_electronic_095-024-075,synthesizer,synthesizer
keyboard_electronic_099-094-127,synthesizer,synthesizer
keyboard_electronic_097-043-050,synthesizer,guitar
keyboard_electronic_050-105-100,synthesizer,synthesizer
keyboard_electronic_008-029-127,synthesizer,synthesizer
keyboard_acoustic_001-093-127,synthesizer,synthesizer
keyboard_acoustic_012-041-100,synthesizer,guitar
keyboard_electronic_074-056-127,synthesizer,guitar
keyboard_electronic_036-079-127,synthesizer,guitar
keyboard_electronic_022-038-100,synthesizer,synthesizer
keyboard_electronic_063-038-127,synthesizer,synthesizer
keyboard_electronic_046-098-075,synthesizer,synthesizer
keyboard_electronic_105-037-127,synthesizer,synthesizer
keyboard_electronic_091-075-050,synthesizer,synthesizer
keyboard_electronic_047-061-075,synthesizer,synthesizer
keyboard_electronic_019-044-025,synthesizer,synthesizer
keyboard_electronic_018-098-100,synthesizer,synthesizer
keyboard_electronic_093-108-075,synthesizer,synthesizer
keyboard_electronic_009-043-100,synthesizer,synthesizer
keyboard_electronic_091-097-025,synthesizer,synthesizer
keyboard_electronic_020-064-127,synthesizer,synthesizer
keyboard_electronic_008-086-127,synthesizer,synthesizer
keyboard_electronic_083-074-127,synthesizer,synthesizer
keyboard_electronic_042-084-025,synthesizer,synthesizer
keyboard_electronic_072-100-025,synthesizer,synthesizer
keyboard_electronic_041-067-075,synthesizer,synthesizer
keyboard_electronic_063-090-050,synthesizer,synthesizer
keyboard_electronic_100-100-075,synthesizer,synthesizer
keyboard_acoustic_014-095-050,synthesizer,synthesizer
keyboard_electronic_085-051-100,synthesizer,synthesizer
keyboard_electronic_071-041-075,synthesizer,synthesizer
keyboard_electronic_090-021-075,synthesizer,synthesizer
keyboard_electronic_060-022-050,synthesizer,synthesizer
keyboard_electronic_093-082-127,synthesizer,synthesizer
keyboard_electronic_102-075-025,synthesizer,synthesizer
keyboard_acoustic_000-108-075,synthesizer,synthesizer
keyboard_electronic_077-066-050,synthesizer,synthesizer
keyboard_electronic_005-021-025,synthesizer,synthesizer
keyboard_electronic_052-064-100,synthesizer,guitar
keyboard_electronic_029-057-025,synthesizer,synthesizer
keyboard_electronic_020-027-100,synthesizer,synthesizer
keyboard_electronic_082-062-075,synthesizer,guitar
keyboard_acoustic_007-053-100,synthesizer,guitar
keyboard_electronic_005-023-050,synthesizer,synthesizer
keyboard_electronic_011-024-127,synthesizer,synthesizer
keyboard_electronic_109-067-100,synthesizer,synthesizer
keyboard_electronic_037-031-025,synthesizer,synthesizer
keyboard_electronic_043-068-127,synthesizer,synthesizer
keyboard_electronic_034-093-075,synthesizer,synthesizer
keyboard_electronic_014-108-100,synthesizer,synthesizer
keyboard_electronic_034-047-100,synthesizer,guitar
keyboard_acoustic_011-104-127,synthesizer,synthesizer
keyboard_electronic_005-022-100,synthesizer,synthesizer
keyboard_electronic_065-086-025,synthesizer,synthesizer
keyboard_electronic_068-093-075,synthesizer,synthesizer
keyboard_acoustic_001-021-100,synthesizer,synthesizer
keyboard_electronic_049-038-025,synthesizer,synthesizer
keyboard_electronic_020-029-100,synthesizer,synthesizer
keyboard_acoustic_009-063-127,synthesizer,guitar
keyboard_electronic_059-107-025,synthesizer,synthesizer
keyboard_acoustic_016-081-075,synthesizer,synthesizer
keyboard_electronic_028-095-100,synthesizer,synthesizer
keyboard_electronic_043-021-127,synthesizer,synthesizer
keyboard_electronic_022-024-100,synthesizer,synthesizer
keyboard_acoustic_018-094-100,synthesizer,synthesizer
keyboard_acoustic_005-054-100,synthesizer,guitar
keyboard_electronic_067-061-025,synthesizer,synthesizer
